Year,Country,Inflation_rate
2013,"Central Asia",6.5
2014,"Central Asia",6.0
2015,"Central Asia",8.0
2016,"Central Asia",7.0
2017,"Central Asia",6.0
2018,"Central Asia",5.5
2019,"Central Asia",5.0
2020,"Central Asia",4.5
2021,"Central Asia",7.0
2022,"Central Asia",11.0
2023,"Central Asia",9.0
2024,"Central Asia",7.5
1980,"Southeast Asia",17.4
1981,"Southeast Asia",15.5
1982,"Southeast Asia",13.1
1983,"Southeast Asia",11.2
1984,"Southeast Asia",10.1
1985,"Southeast Asia",9.3
1986,"Southeast Asia",8.5
1987,"Southeast Asia",7.9
1988,"Southeast Asia",9.3
1989,"Southeast Asia",11.1
1990,"Southeast Asia",12.0
1991,"Southeast Asia",10.3
1992,"Southeast Asia",8.5
1993,"Southeast Asia",9.3
1994,"Southeast Asia",11.2
1995,"Southeast Asia",10.3
1996,"Southeast Asia",8.7
1997,"Southeast Asia",6.7
1998,"Southeast Asia",9.8
1999,"Southeast Asia",4.5
2000,"Southeast Asia",3.7
2001,"Southeast Asia",2.7
2002,"Southeast Asia",2.3
2003,"Southeast Asia",3.2
2004,"Southeast Asia",3.9
2005,"Southeast Asia",4.6
2006,"Southeast Asia",3.9
2007,"Southeast Asia",4.8
2008,"Southeast Asia",7.5
2009,"Southeast Asia",2.7
2010,"Southeast Asia",4.1
2011,"Southeast Asia",5.8
2012,"Southeast Asia",4.5
2013,"Southeast Asia",4.0
2014,"Southeast Asia",3.7
2015,"Southeast Asia",2.9
2016,"Southeast Asia",3.1
2017,"Southeast Asia",3.3
2018,"Southeast Asia",3.6
2019,"Southeast Asia",3.1
2020,"Southeast Asia",2.4
2021,"Southeast Asia",3.3
2022,"Southeast Asia",5.0
2023,"Southeast Asia",4.0
2024,"Southeast Asia",3.2
1980,"Nordic Countries",9.5
1981,"Nordic Countries",11.8
1982,"Nordic Countries",9.7
1983,"Nordic Countries",7.6
1984,"Nordic Countries",6.5
1985,"Nordic Countries",5.8
1986,"Nordic Countries",4.7
1987,"Nordic Countries",4.0
1988,"Nordic Countries",4.5
1989,"Nordic Countries",5.3
1990,"Nordic Countries",6.4
1991,"Nordic Countries",5.7
1992,"Nordic Countries",4.5
1993,"Nordic Countries",3.8
1994,"Nordic Countries",3.1
1995,"Nordic Countries",2.9
1996,"Nordic Countries",2.6
1997,"Nordic Countries",2.1
1998,"Nordic Countries",1.9
1999,"Nordic Countries",1.8
2000,"Nordic Countries",2.4
2001,"Nordic Countries",3.0
2002,"Nordic Countries",2.1
2003,"Nordic Countries",1.9
2004,"Nordic Countries",2.0
2005,"Nordic Countries",2.1
2006,"Nordic Countries",2.3
2007,"Nordic Countries",2.6
2008,"Nordic Countries",3.5
2009,"Nordic Countries",0.9
2010,"Nordic Countries",1.4
2011,"Nordic Countries",2.9
2012,"Nordic Countries",2.4
2013,"Nordic Countries",1.3
2014,"Nordic Countries",0.8
2015,"Nordic Countries",0.1
2016,"Nordic Countries",0.1
2017,"Nordic Countries",1.5
2018,"Nordic Countries",1.8
2019,"Nordic Countries",1.4
2020,"Nordic Countries",0.2
2021,"Nordic Countries",2.7
2022,"Nordic Countries",7.9
2023,"Nordic Countries",6.0
2024,"Nordic Countries",3.3
1980,"Balkans",15.2
1981,"Balkans",17.8
1982,"Balkans",15.5
1983,"Balkans",13.0
1984,"Balkans",11.2
1985,"Balkans",13.5
1986,"Balkans",15.9
1987,"Balkans",13.7
1988,"Balkans",11.5
1989,"Balkans",10.0
1990,"Balkans",12.9
1991,"Balkans",15.8
1992,"Balkans",45.0
1993,"Balkans",350.0
1994,"Balkans",180.0
1995,"Balkans",80.0
1996,"Balkans",45.0
1997,"Balkans",25.0
1998,"Balkans",15.0
1999,"Balkans",12.0
2000,"Balkans",10.0
2001,"Balkans",8.5
2002,"Balkans",7.0
2003,"Balkans",6.0
2004,"Balkans",5.5
2005,"Balkans",5.0
2006,"Balkans",4.5
2007,"Balkans",5.5
2008,"Balkans",8.0
2009,"Balkans",4.0
2010,"Balkans",5.0
2011,"Balkans",7.5
2012,"Balkans",6.0
2013,"Balkans",4.5
2014,"Balkans",3.5
2015,"Balkans",2.5
2016,"Balkans",2.0
2017,"Balkans",3.0
2018,"Balkans",3.5
2019,"Balkans",2.5
2020,"Balkans",1.5
2021,"Balkans",4.0
2022,"Balkans",10.0
2023,"Balkans",8.0
2024,"Balkans",6.0
